DEPT,TWT,seismicamplitude,AI_Jason_inv,AI_Log,Int,D2,Quadr,TraceGrad,GradMag,Freq,Phase,CosPhase
1602.230,1168.306,-1464.758,,9507.5,1.6950,520.0,-135.9,245.8,639.9,47.6,-51.9346,-0.9361
1602.383,1168.398,-1458.373,,9437.7,1.6808,510.4,-180.7,256.1,635.5,47.5,-66.9549,-0.9368
1602.535,1168.491,-1451.986,,9390.8,1.6667,500.9,-225.5,266.3,631.2,47.3,-81.9752,-0.9376
1602.688,1168.583,-1445.599,,9373.5,1.6526,491.3,-270.3,276.6,626.9,47.1,-96.9953,-0.9383
1602.840,1168.676,-1439.214,,9385.1,1.6385,481.7,-315.1,286.8,622.6,47.0,-112.0154,-0.9391
1602.992,1168.768,-1432.828,,9485.3,1.6244,472.2,-359.9,297.1,618.2,46.8,-127.0354,-0.9398
1603.145,1168.861,-1426.437,,9519.6,1.6103,462.6,-404.8,307.4,613.9,46.7,-142.0555,-0.9406
1603.297,1168.953,-1420.045,,9390.4,1.5962,453.1,-449.6,317.6,609.6,46.5,-157.0756,-0.9413
1603.450,1169.046,-1403.424,,9300.1,1.5880,438.2,-485.4,321.8,616.4,46.3,-163.9531,-0.9351
1603.602,1169.138,-1376.306,,9337.4,1.5860,418.0,-511.9,319.7,634.6,46.1,-162.4784,-0.9218
1603.754,1169.231,-1349.183,,9371.1,1.5840,397.7,-538.4,317.7,652.8,45.9,-161.0036,-0.9085
1603.907,1169.323,-1322.055,,9260.2,1.5820,377.5,-565.0,315.6,671.0,45.7,-159.5285,-0.8951
1604.059,1169.416,-1294.923,,9106.4,1.5800,357.2,-591.5,313.6,689.2,45.5,-158.0534,-0.8818
1604.212,1169.508,-1267.786,,8950.9,1.5780,336.9,-618.0,311.5,707.4,45.3,-156.5784,-0.8685
1604.364,1169.601,-1240.643,,8851.5,1.5760,316.7,-644.6,309.5,725.6,45.1,-155.1036,-0.8551
1604.516,1169.693,-1213.496,,8866.7,1.5740,296.4,-671.1,307.4,743.8,44.9,-153.6291,-0.8418
1604.669,1169.786,-1186.344,,8889.3,1.5720,276.1,-697.6,305.4,762.0,44.7,-152.1547,-0.8284
1604.821,1169.878,-1159.186,,8962.4,1.5700,255.9,-724.1,303.3,780.1,44.5,-150.6804,-0.8151
1604.974,1169.970,-1132.023,,9103.3,1.5680,235.6,-750.6,301.2,798.3,44.4,-149.2060,-0.8018
1605.126,1170.063,-1104.854,,9179.0,1.5660,215.3,-777.2,299.2,816.5,44.2,-147.7313,-0.7884
1605.278,1170.156,-1077.682,,9179.3,1.5640,195.1,-803.7,297.1,834.7,44.0,-146.2562,-0.7751
1605.431,1170.248,-1050.506,,9170.5,1.5620,174.8,-830.2,295.1,852.9,43.8,-144.7812,-0.7617
1605.583,1170.340,-1023.325,,9116.2,1.5600,154.5,-856.8,293.0,871.0,43.6,-143.3061,-0.7484
1605.736,1170.433,-996.140,,9078.7,1.5580,134.2,-883.3,291.0,889.2,43.4,-141.8311,-0.7350
1605.888,1170.525,-968.950,,9182.9,1.5560,114.0,-909.8,289.0,907.4,43.2,-140.3559,-0.7216
1606.040,1170.618,-941.755,,9216.5,1.5541,93.7,-936.4,286.9,925.6,43.0,-138.8805,-0.7083
1606.193,1170.710,-914.554,,9053.0,1.5521,73.4,-962.9,284.9,943.7,42.8,-137.4048,-0.6949
1606.345,1170.803,-887.348,,8901.4,1.5501,53.1,-989.5,282.8,961.9,42.6,-135.9291,-0.6816
1606.498,1170.895,-860.137,,8878.7,1.5481,32.8,-1016.0,280.8,980.1,42.4,-134.4534,-0.6682
1606.650,1170.988,-832.876,,8787.4,1.5461,12.5,-1042.6,278.7,998.2,42.2,-132.9779,-0.6548
1606.802,1171.080,-805.305,,8624.1,1.5482,5.1,-1051.1,270.8,1010.5,42.0,-131.7457,-0.6378
1606.955,1171.173,-777.624,,8547.2,1.5509,-0.3,-1056.9,261.9,1021.8,41.8,-130.5504,-0.6202
1607.107,1171.265,-749.942,,8681.6,1.5535,-5.8,-1062.7,253.0,1033.2,41.6,-129.3551,-0.6026
1607.260,1171.358,-722.254,,8789.1,1.5562,-11.2,-1068.4,244.1,1044.5,41.4,-128.1597,-0.5850
1607.412,1171.450,-694.559,,8847.2,1.5589,-16.7,-1074.2,235.2,1055.9,41.3,-126.9642,-0.5675
1607.564,1171.543,-666.855,,8910.7,1.5616,-22.2,-1080.0,226.3,1067.2,41.1,-125.7684,-0.5499
1607.717,1171.635,-639.144,,8942.8,1.5643,-27.6,-1085.8,217.4,1078.6,40.9,-124.5725,-0.5323
1607.869,1171.728,-611.427,,8933.0,1.5669,-33.1,-1091.6,208.5,1089.9,40.7,-123.3765,-0.5147
1608.022,1171.820,-583.704,,8918.0,1.5696,-38.6,-1097.3,199.6,1101.3,40.6,-122.1805,-0.4971
1608.174,1171.913,-555.975,,8928.0,1.5723,-44.1,-1103.1,190.7,1112.6,40.4,-120.9843,-0.4795
1608.326,1172.005,-528.242,,9104.5,1.5750,-49.5,-1108.9,181.8,1124.0,40.2,-119.7882,-0.4619
1608.479,1172.098,-500.505,,9292.1,1.5777,-55.0,-1114.7,172.9,1135.3,40.0,-118.5922,-0.4443
1608.631,1172.190,-472.765,,9483.6,1.5803,-60.5,-1120.4,164.0,1146.7,39.8,-117.3962,-0.4267
1608.784,1172.283,-445.020,,9434.2,1.5830,-66.0,-1126.2,155.1,1158.1,39.7,-116.2002,-0.4091
1608.936,1172.375,-417.271,,9307.8,1.5857,-71.5,-1131.9,146.2,1169.4,39.5,-115.0041,-0.3915
1609.088,1172.468,-389.520,,9178.7,1.5883,-77.0,-1137.7,137.3,1180.8,39.3,-113.8083,-0.3739
1609.241,1172.560,-361.773,,9129.2,1.5910,-82.4,-1143.4,128.4,1192.1,39.1,-112.6128,-0.3563
1609.393,1172.652,-334.024,,9104.7,1.5936,-87.9,-1149.2,119.5,1203.5,38.9,-111.4175,-0.3387
1609.546,1172.745,-306.266,,8970.7,1.5963,-93.4,-1154.9,110.6,1214.8,38.8,-110.2219,-0.3211
1609.698,1172.838,-278.497,,8767.3,1.5990,-98.9,-1160.7,101.8,1226.2,38.6,-109.0257,-0.3035
1609.850,1172.930,-250.712,,8628.4,1.6017,-104.4,-1166.4,92.9,1237.5,38.4,-107.8289,-0.2859
1610.003,1173.022,-224.140,,8510.5,1.6029,-109.2,-1169.5,85.1,1247.3,38.2,-106.6405,-0.2681
1610.155,1173.115,-201.369,,8388.5,1.5997,-111.7,-1164.3,81.0,1252.3,38.1,-105.4783,-0.2498
1610.308,1173.207,-178.600,,8315.3,1.5964,-114.2,-1159.1,76.9,1257.2,38.0,-104.3165,-0.2315
1610.460,1173.300,-155.832,,8319.6,1.5932,-116.7,-1153.9,72.8,1262.1,37.9,-103.1548,-0.2133
1610.612,1173.392,-133.063,,8432.8,1.5899,-119.2,-1148.6,68.6,1267.0,37.8,-101.9932,-0.1950
1610.765,1173.485,-110.289,,8531.5,1.5867,-121.7,-1143.4,64.5,1271.9,37.7,-100.8315,-0.1767
1610.917,1173.577,-87.512,,8561.9,1.5834,-124.2,-1138.2,60.4,1276.8,37.6,-99.6695,-0.1584
1611.070,1173.670,-64.734,,8582.9,1.5802,-126.7,-1132.9,56.2,1281.7,37.5,-98.5076,-0.1401
1611.222,1173.762,-41.955,,8550.0,1.5769,-129.2,-1127.6,52.1,1286.6,37.4,-97.3458,-0.1219
1611.374,1173.855,-19.172,,8487.2,1.5736,-131.7,-1122.4,47.9,1291.5,37.3,-96.1839,-0.1036
1611.527,1173.947,3.619,,8397.2,1.5704,-134.3,-1117.1,43.8,1296.4,37.2,-95.0218,-0.0853
1611.679,1174.040,26.415,,8316.6,1.5671,-136.8,-1111.9,39.7,1301.3,37.1,-93.8597,-0.0670
1611.832,1174.132,49.212,,8247.9,1.5638,-139.3,-1106.6,35.5,1306.2,37.0,-92.6976,-0.0487
1611.984,1174.225,72.010,,8187.2,1.5606,-141.8,-1101.3,31.4,1311.1,36.9,-91.5357,-0.0305
1612.136,1174.317,94.808,,8137.2,1.5573,-144.4,-1096.0,27.2,1316.0,36.7,-90.3737,-0.0122
1612.289,1174.410,117.609,,8095.7,1.5540,-146.9,-1090.8,23.1,1320.9,36.6,-89.2118,0.0061
1612.441,1174.502,140.413,,8060.7,1.5508,-149.4,-1085.5,18.9,1325.8,36.5,-88.0497,0.0244
1612.594,1174.595,163.224,,8078.3,1.5475,-152.0,-1080.2,14.8,1330.7,36.4,-86.8875,0.0427
1612.746,1174.687,186.046,,8173.8,1.5442,-154.5,-1074.9,10.6,1335.6,36.3,-85.7249,0.0609
1612.898,1174.780,208.878,,8382.1,1.5410,-157.1,-1069.6,6.4,1340.5,36.2,-84.5618,0.0792
1613.051,1174.872,231.720,,8462.9,1.5377,-159.6,-1064.3,2.3,1345.4,36.1,-83.3984,0.0975
1613.203,1174.965,254.507,,8293.4,1.5344,-162.2,-1059.0,-1.9,1350.3,36.0,-82.2346,0.1158
1613.356,1175.057,272.779,,8152.7,1.5290,-161.4,-1048.8,-5.1,1347.4,35.9,-81.1044,0.1325
1613.508,1175.150,288.105,,8048.7,1.5223,-158.7,-1035.6,-7.7,1339.7,35.9,-79.9950,0.1481
1613.660,1175.242,303.427,,7979.3,1.5155,-155.9,-1022.3,-10.4,1331.9,35.9,-78.8858,0.1638
1613.813,1175.334,318.735,,7948.1,1.5088,-153.1,-1009.1,-13.0,1324.2,35.9,-77.7771,0.1794
1613.965,1175.427,334.029,,7968.6,1.5020,-150.3,-995.8,-15.7,1316.4,35.8,-76.6686,0.1950
1614.118,1175.519,349.319,,8035.5,1.4952,-147.5,-982.6,-18.3,1308.6,35.8,-75.5604,0.2106
1614.270,1175.612,364.608,,8094.9,1.4884,-144.7,-969.3,-20.9,1300.9,35.8,-74.4521,0.2262
1614.422,1175.704,379.902,,8086.2,1.4817,-141.9,-956.0,-23.6,1293.1,35.8,-73.3436,0.2418
1614.575,1175.797,395.201,,8051.0,1.4749,-139.1,-942.7,-26.2,1285.3,35.7,-72.2348,0.2574
1614.727,1175.889,410.494,,8058.6,1.4681,-136.3,-929.5,-28.9,1277.6,35.7,-71.1261,0.2730
1614.880,1175.982,425.776,,8168.6,1.4613,-133.4,-916.2,-31.5,1269.8,35.7,-70.0177,0.2886
1615.032,1176.074,441.051,,8289.9,1.4545,-130.6,-902.9,-34.2,1262.0,35.6,-68.9093,0.3042
1615.184,1176.167,456.326,,8353.2,1.4477,-127.8,-889.5,-36.8,1254.2,35.6,-67.8011,0.3198
1615.337,1176.259,471.604,,8368.0,1.4409,-125.0,-876.3,-39.5,1246.4,35.6,-66.6930,0.3354
1615.489,1176.352,486.883,,8371.9,1.4342,-122.2,-863.0,-42.1,1238.7,35.6,-65.5852,0.3510
