DEPT,TWT,amp,AI_Log,Int,D2,Quadr,TraceGrad,GradMag,Freq,Phase,CosPhase,AI_Jason_inv
1597.8,1165.6,-1198.7,7575,2.18,651.2,1165.5,-112.8,1087.9,51.4,135.0608,-0.6658,
1598,1165.7,-1222.6,7484,2.16,651.4,1120.5,-98.4,1061.9,51.3,136.7455,-0.6832,
1598.1,1165.8,-1246.5,7489,2.14,651.7,1075.6,-84.1,1035.9,51.2,138.4305,-0.7007,
1598.3,1165.9,-1270.4,7561,2.12,651.9,1030.6,-69.7,1009.9,51.1,140.1155,-0.7181,
1598.4,1166,-1294.3,7655,2.1,652.2,985.7,-55.3,983.9,51,141.8006,-0.7355,
1598.6,1166.1,-1318.3,7724,2.08,652.4,940.7,-41,957.9,50.9,143.4859,-0.753,
1598.7,1166.2,-1342.2,7896,2.06,652.7,895.8,-26.6,931.9,50.8,145.1711,-0.7704,
1598.9,1166.3,-1366.1,8035,2.04,652.9,850.8,-12.2,905.9,50.7,146.856,-0.7879,
1599,1166.4,-1390,8069,2.03,653.1,805.9,2.2,879.8,50.6,148.5408,-0.8053,
1599.2,1166.5,-1413.9,8041,2.01,653.4,760.9,16.5,853.8,50.5,150.2257,-0.8227,
1599.3,1166.5,-1437.8,8019,1.99,653.6,715.9,30.9,827.8,50.4,151.9112,-0.8402,
1599.5,1166.6,-1461.7,7996,1.97,653.9,671,45.3,801.8,50.3,153.5971,-0.8576,
1599.6,1166.7,-1485.7,7968,1.95,654.2,626,59.6,775.8,50.2,155.2829,-0.8751,
1599.8,1166.8,-1509.6,7871,1.93,654.4,581,74,749.8,50.1,156.9687,-0.8925,
1599.9,1166.9,-1533.5,7805,1.91,654.7,536,88.4,723.8,50,158.6543,-0.91,
1600.1,1167,-1553.3,7781,1.89,653.7,491.1,102.3,700.4,49.8,158.3508,-0.9254,
1600.2,1167.1,-1547.5,7776,1.88,644.2,446.3,112.5,696.1,49.7,143.3303,-0.9262,
1600.4,1167.2,-1541.1,7786,1.86,634.6,401.5,122.8,691.8,49.5,128.3097,-0.927,
1600.6,1167.3,-1534.8,7806,1.85,625.1,356.8,133,687.4,49.4,113.2891,-0.9277,
1600.7,1167.4,-1528.4,7840,1.84,615.5,312,143.3,683.1,49.2,98.2686,-0.9285,
1600.9,1167.5,-1522.1,7914,1.82,606,267.2,153.5,678.8,49.1,83.2482,-0.9293,
1601,1167.6,-1515.7,8137,1.81,596.4,222.4,163.8,674.5,48.9,68.2278,-0.93,
1601.2,1167.7,-1509.4,8441,1.79,586.9,177.7,174,670.1,48.7,53.2074,-0.9308,
1601.3,1167.8,-1503,8754,1.78,577.3,132.9,184.3,665.8,48.6,38.1871,-0.9316,
1601.5,1167.8,-1496.6,8983,1.77,567.8,88.1,194.5,661.5,48.4,23.1668,-0.9323,
1601.6,1167.9,-1490.3,9104,1.75,558.2,43.3,204.8,657.2,48.3,8.1466,-0.9331,
1601.8,1168,-1483.9,9214,1.74,548.6,-1.5,215,652.8,48.1,-6.8736,-0.9338,
1601.9,1168.1,-1477.5,9392,1.72,539.1,-46.3,225.3,648.5,47.9,-21.8939,-0.9346,
1602.1,1168.2,-1471.1,9504,1.71,529.5,-91.1,235.6,644.2,47.8,-36.9143,-0.9353,
1602.2,1168.3,-1464.8,9508,1.69,520,-135.9,245.8,639.9,47.6,-51.9346,-0.9361,
1602.4,1168.4,-1458.4,9438,1.68,510.4,-180.7,256.1,635.5,47.5,-66.9549,-0.9368,
1602.5,1168.5,-1452,9391,1.67,500.9,-225.5,266.3,631.2,47.3,-81.9752,-0.9376,
1602.7,1168.6,-1445.6,9373,1.65,491.3,-270.3,276.6,626.9,47.1,-96.9953,-0.9383,
1602.8,1168.7,-1439.2,9385,1.64,481.7,-315.1,286.8,622.6,47,-112.0154,-0.9391,
1603,1168.8,-1432.8,9485,1.62,472.2,-359.9,297.1,618.2,46.8,-127.0354,-0.9398,
1603.1,1168.9,-1426.4,9520,1.61,462.6,-404.8,307.4,613.9,46.7,-142.0555,-0.9406,
1603.3,1169,-1420,9390,1.6,453.1,-449.6,317.6,609.6,46.5,-157.0756,-0.9413,
1603.4,1169,-1403.4,9300,1.59,438.2,-485.4,321.8,616.4,46.3,-163.9531,-0.9351,
1603.6,1169.1,-1376.3,9337,1.59,418,-511.9,319.7,634.6,46.1,-162.4784,-0.9218,
1603.8,1169.2,-1349.2,9371,1.58,397.7,-538.4,317.7,652.8,45.9,-161.0036,-0.9085,
1603.9,1169.3,-1322.1,9260,1.58,377.5,-565,315.6,671,45.7,-159.5285,-0.8951,
1604.1,1169.4,-1294.9,9106,1.58,357.2,-591.5,313.6,689.2,45.5,-158.0534,-0.8818,
1604.2,1169.5,-1267.8,8951,1.58,336.9,-618,311.5,707.4,45.3,-156.5784,-0.8685,
1604.4,1169.6,-1240.6,8851,1.58,316.7,-644.6,309.5,725.6,45.1,-155.1036,-0.8551,
1604.5,1169.7,-1213.5,8867,1.57,296.4,-671.1,307.4,743.8,44.9,-153.6291,-0.8418,
1604.7,1169.8,-1186.3,8889,1.57,276.1,-697.6,305.4,762,44.7,-152.1547,-0.8284,
1604.8,1169.9,-1159.2,8962,1.57,255.9,-724.1,303.3,780.1,44.5,-150.6804,-0.8151,
1605,1170,-1132,9103,1.57,235.6,-750.6,301.2,798.3,44.4,-149.206,-0.8018,
1605.1,1170.1,-1104.9,9179,1.57,215.3,-777.2,299.2,816.5,44.2,-147.7313,-0.7884,
1605.3,1170.2,-1077.7,9179,1.56,195.1,-803.7,297.1,834.7,44,-146.2562,-0.7751,
1605.4,1170.2,-1050.5,9171,1.56,174.8,-830.2,295.1,852.9,43.8,-144.7812,-0.7617,
1605.6,1170.3,-1023.3,9116,1.56,154.5,-856.8,293,871,43.6,-143.3061,-0.7484,
